2018-03-20 17:31:30,911 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=057fd863-3d83-4793-b99c-896f1a8a5c11
2018-03-20 17:31:37,467 [15] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=4b8134a8-7443-4506-ba27-6f88ad3327ca
2018-03-20 17:31:37,486 [15] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=F:\Unity3d\Git\VROperationRoom\PUN Local Server\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2018-03-20 17:31:37,492 [15] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2018-03-20 17:31:37,495 [15] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=057fd863-3d83-4793-b99c-896f1a8a5c11
2018-03-20 17:31:37,497 [15] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2018-03-20 17:31:37,501 [18] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=057fd863-3d83-4793-b99c-896f1a8a5c11
2018-03-20 17:31:37,502 [18] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2018-03-20 17:31:37,503 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=057fd863-3d83-4793-b99c-896f1a8a5c11
2018-03-20 17:31:37,504 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2018-03-20 17:31:37,505 [11] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-03-20 17:31:37,539 [16] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=4b8134a8-7443-4506-ba27-6f88ad3327ca
